国际,XXS,XS,S,M,L,XL,XXL,XXXL
意大利,36,38,40,42,44,46,48,50
法国,32,34,36,38,40,42,44,46
美国,00-0,0-2,4-6,8-10,12-14,16,18-20,22
英国/澳大利亚,4,6,8,10,12,14,16,18
德国/丹麦,30,32,34,36,38,40,42,44
日本,3,5,7,9,11,13,15,17
韩国,33,44,55,66,77,88,99,
俄罗斯,38,40,40,42,44,46,48,50
罗马数字,00,0,1/I,2/II,3/III,4/IV,5/V,6/VI
裤装中国型号参考,150/58A,155/62A,160/68A,165/72A,170/78A,175/82A,180/86A,185/90A
腰围参考(cm),55-60,60-65,65-70,70-75,75-80,80-83,83-88,88-92
裤装标准腰围码(inch),22-23,24-25,26-27,28-29,30-31,32,33-34,35-36
