国际,XXS,XS,S,M,L,XL,XXL,XXXL
意大利/法国,42,44,46,48,50,52,54,56
英国/美国,32,34,36,38,40,42,44,46
日本,0,1,2,3,4,5,6,7
韩国,85,90,95,100,105,110,115,120
俄罗斯,42,44,46,48,50,52,54,56
罗马数字,0,0,1/I,2/II,3/III,4/IV,5/V,6/VI
衬衫标准衣领码(cm),36,37,38,39-40,40-41,42,43,44-45
衬衫标准衣领码(inch),14,14.5,15,15.5,16,16.5,17,17.5
上装中国型号参考,160/82A,165/86A,170/92A,175/96A,180/102A,185/106A,190/112A,195/116A
胸围参考(cm),80-84,84-89,89-94,94-99,99-104,104-109,109-114,114-118
