国际,XXS,XS,S,M,L,XL,XXL,XXXL
欧洲(cm),65,70,75,80,85,90,95,100
美国(inch),26,28,30,32,34,36,38,40
中国(cm),80,85,90,95,100,105,110,115
腰围参考(cm),59,64,69,74,79,84,89,94
