国际,70A,70B,70C,70D,75A,75B,75C,75D,75E,80A,80B,80C,80E,85B,85C,85D,85E
美国/英国,32A,32B,32C,32D,34A,34B,34C,34D,34E,36A,36B,36C,36E,38B,38C,38D,38E
法国,85A,85B,85C,85D,90A,90B,90C,90D,90E,95A,95B,95C,95E,100B,100C,100D,100E
意大利,1A,1B,1C,1D,2A,2B,2C,2D,2E,3A,3B,3C,3E,4B,4C,4D,4E
上胸围参考(cm),80,83,85,88,85,88,91,95,98,90,93,95,103,98,100,104,108
下胸围参考(cm),68~72,68~72,68~72,68~72,73~77,73~77,73~77,73~77,73~77,78~82,78~83,78~84,78~85,83~87,83~88,83~89,83~90
