国际,XXS,XS,S,M,L,XL,XXL,XXXL
意大利/法国,42,44,46,48,50,52,54,56
英国/美国,32,34,36,38,40,42,44,46
日本,0,1,2,3,4,5,6,7
韩国,85,90,95,100,105,110,115,120
俄罗斯,42,44,46,48,50,52,54,56
罗马数字,0,0,1/I,2/II,3/III,4/IV,5/V,6/VI
裤装标准腰围码(inch),26-27,28-29,30-31,32-33,34-35,36-37,38-39,40-41
裤装中国型号参考,160/68A,165/72A,170/78A,175/82A,180/88A,185/92A,190/98A,195/102A
腰围参考(cm),65-70,70-75,75-80,80-85,85-90,90-95,95-101,101-105
