国际,XXS,XS,S,M,L,XL,XXL,XXXL
欧洲(cm),75,80,85,90,95,100,105,110
美国(inch),30,32,34,36,38,40,42,44
中国(cm),90,95,100,105,110,115,120,125
腰围参考(cm),69,74,79,83,88,93,98,103
