国际,XXS,XS,S,M,L,XL,XXL,XXXL
意大利,36,38,40,42,44,46,48,50
法国,32,34,36,38,40,42,44,46
美国,00-0,0-2,4-6,8-10,12-14,16,18-20,22
英国/澳大利亚,4,6,8,10,12,14,16,18
德国/丹麦,30,32,34,36,38,40,42,44
日本,3,5,7,9,11,13,15,17
韩国,33,44,55,66,77,88,99,
俄罗斯,38,40,40,42,44,46,48,50
罗马数字,00,0,1/I,2/II,3/III,4/IV,5/V,6/VI
上装中国型号参考,150/76A,150/80A,160/86A,165/90A,170/96A,175/100A,180/104A,185/108A
胸围参考,74-78,78-83,83-88,88-93,93-98,98-102,102-106,106-110
